timestamp,visible_stores
2026-02-10 05:00:00-05:00,99887
2026-02-10 06:00:00-05:00,10561
2026-02-10 07:00:00-05:00,36989
2026-02-10 08:00:00-05:00,396582
2026-02-10 09:00:00-05:00,1264807
2026-02-10 10:00:00-05:00,2174177
2026-02-10 11:00:00-05:00,2907968
2026-02-10 12:00:00-05:00,3958411
2026-02-10 13:00:00-05:00,4723546
2026-02-10 14:00:00-05:00,5382708
2026-02-10 15:00:00-05:00,3686896
2026-02-10 16:00:00-05:00,3337993
2026-02-10 17:00:00-05:00,5566658
2026-02-10 18:00:00-05:00,5375207
2026-02-10 19:00:00-05:00,5174997
2026-02-10 20:00:00-05:00,4802184
2026-02-10 21:00:00-05:00,3985007
2026-02-10 22:00:00-05:00,2947363
2026-02-10 23:00:00-05:00,1601742
2026-02-11 00:00:00-05:00,606610
2026-02-11 01:00:00-05:00,508117
2026-02-11 02:00:00-05:00,409623
2026-02-11 03:00:00-05:00,311129
2026-02-11 04:00:00-05:00,212635
2026-02-11 05:00:00-05:00,114142
2026-02-11 06:00:00-05:00,15648
2026-02-11 07:00:00-05:00,41791
2026-02-11 08:00:00-05:00,403247
2026-02-11 09:00:00-05:00,1366807
2026-02-11 10:00:00-05:00,2404432
2026-02-11 11:00:00-05:00,3228306
2026-02-11 12:00:00-05:00,4057404
2026-02-11 13:00:00-05:00,4857690
2026-02-11 14:00:00-05:00,5523914
2026-02-11 15:00:00-05:00,5630566
